,회사명,제품명
0,라운드랩,라운드랩 포 맨 자작나무 토너/로션 2종세트 (+클렌저 40ml/미니어처20ml)
1,아이디얼포맨,[4년연속 맨즈케어1등]아이디얼 포맨 퍼펙트올인원밀크 기획(30mL증정)
2,랩시리즈,[4년연속 맨즈케어1등]아이디얼 포맨 퍼펙트올인원밀크 기획(30mL증정)
3,차앤박옴므,[4년연속 맨즈케어1등]아이디얼 포맨 퍼펙트올인원밀크 기획(30mL증정)
4,비오템 옴므,[4년연속 맨즈케어1등]아이디얼 포맨 퍼펙트올인원밀크 기획(30mL증정)
5,우르오스,[4년연속 맨즈케어1등]아이디얼 포맨 퍼펙트올인원밀크 기획(30mL증정)
6,닥터지,[단독기획] 아이디얼 포맨 시카 올인원 기획 (본품150ml+50ml 증정)
7,라네즈,[단독기획] 아이디얼 포맨 시카 올인원 기획 (본품150ml+50ml 증정)
8,랩시리즈,[단독기획] 아이디얼 포맨 시카 올인원 기획 (본품150ml+50ml 증정)
9,클럽맨피노드,[단독기획] 아이디얼 포맨 시카 올인원 기획 (본품150ml+50ml 증정)
10,아이디얼포맨,[단독기획] 아이디얼 포맨 시카 올인원 기획 (본품150ml+50ml 증정)
11,무슈제이,우르오스 올인원 200ml 2종 택 1
12,아이디얼포맨,우르오스 올인원 200ml 2종 택 1
13,라운드랩,우르오스 올인원 200ml 2종 택 1
14,닥터지,우르오스 올인원 200ml 2종 택 1
15,라운드랩,우르오스 올인원 200ml 2종 택 1
